SN,WRINVSTG_NO,DPRS_CNT,INJPSN_CNT,HNL_DMGE_CNT,PRPRTY_DMGE_AMT,UPRINSTT_NM,FRSTT_NM,WARD_NM,LFDAU_NM,FIRE_OCRN_YMD,FIRE_OCRN_TIME,RCPT_YMD,RCPT_TM,LOC_INFO_X,LOC_INFO_Y,DSP_YMD,DSP_TM,SPT_ARVL_YMD,SPT_ARVL_TM,FSMDEM_YMD,FSMDEM_TM,COMPET_YMD,COMPET_TM,HMG_YMD,HMG_TM,DSP_REQRE_TIME,FIRE_SUPESN_TIME,SPT_FRSTT_DIST,SPT_SAFE_CNTER_DIST,SPT_LFDAU_DIST,SIDO_NM,SIGUNGU_NM,EMD_NM,EMD_SE_NM,LNBR,ROAD_NM,FCLTY_PLACE_LCLAS_NM,FCLTY_PLACE_MCLAS_NM,FCLTY_PLACE_SCLAS_NM,FIRE_TYPE_NM,IGN_BHF,IGN_CAUSE,IGN_HTSRC_NM,IGN_FCTR_SCLAS_NM,IGN_FCTR_LCLAS_NM,IGN_HTSRC_SCLAS_NM,FRST_IGOBJ_LCLAS_NM,FRST_IGOBJ_SCLAS_NM,CMBS_EXPOBJ_LCLAS_NM,CMBS_EXPOBJ_SCLAS_NM,OCRN_CAUSE,ALL_HNF_CNT_SUM,MBLZ_FFPWR_CNT,LYCRG_FIREMAN_CNT,POLICE_CNT,GNRL_CNT,SOLDIER_CNT,ELCTY_GAS_INSTT_CNT,ETC_CNT,MBLZ_EQPMN_CNT,WETHR,TP,HUMIDITY,TIME_UNIT_WS,TIME_UNIT_WD,SPCNWS_CN
886,200408163330671,0,0,0,0,강원소방본부,원주소방서,태장119안전센터,소초119지역대,20200408,013400,20200408,013440,128.0016,37.3618,20200408,013506,20200408,014538,20200408,144025,20200408,031152,20200408,035554,001032,012614,8,9,9.0,강원도,원주시,소초면,흥양리,120,살대울모래기길 273,임야,산불,사유림,임야,산아래,기타,"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등",나무,"가연성물질의 급격한 연소/기상(건조, 강풍 등)",96,36,10,7,10,0,0,33,19,맑음,10.0,23,315.0,4.0,건조 경보
887,200409165021111,0,0,0,56,강원소방본부,영월소방서,영월119안전센터,,20200409,024100,20200409,024135,128.5093,37.2222,20200409,024312,20200409,025727,20200409,151458,20200409,032238,20200409,041035,001415,002511,12,12,0.0,강원도,영월군,영월읍,삼옥리,53,,임야,산불,사유림,임야,산중턱,기타,작동기기,"불꽃, 스파크, 정전기",전기적 요인,"누전,지락","종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎","가연성물질의 급격한 연소/기상(건조, 강풍 등)",72,20,9,6,0,0,37,0,12,맑음,15.0,20,270.0,,
888,200410064421115,0,0,0,0,강원소방본부,영월소방서,영월119안전센터,,20200410,044000,20200410,044055,128.5052,37.2259,20200410,044300,20200410,045805,20200410,052406,20200410,054413,20200410,063219,001505,004608,12,12,0.0,강원도,영월군,영월읍,삼옥리,53,,임야,산불,사유림,임야,산중턱,기타,"불꽃, 불티","기타(불꽃,불티)",기타,기타,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎","가연성물질의 급격한 연소/화재인지,신고 지연",52,18,0,4,0,0,30,0,9,맑음,4.0,75,270.0,4.0,
889,200410151102731,0,0,0,710,강원소방본부,원주소방서,신림119안전센터,,20200410,114700,20200410,114754,128.062,37.2066,20200410,114859,20200410,115911,20200410,133235,20200410,020838,20200410,025715,001012,020927,23,6,0.0,강원도,원주시,신림면,구학리,351-2,방학동길 110,임야,산불,사유림,임야,산아래,쓰레기소각장에서확대,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","목재, 합판",,,,124,37,25,7,20,0,35,0,23,맑음,11.0,38,90.0,4.0,
890,200410144652498,0,0,0,0,강원소방본부,평창소방서,진부119안전센터,,20200410,115600,20200410,115638,128.5446,37.6822,20200410,115708,20200410,120931,20200410,130057,20200410,013653,20200410,020731,001223,012722,46,7,0.0,강원도,평창군,진부면,두일리,82,두일길 415-4,임야,산불,사유림,임야,산아래,기타,"담뱃불, 라이터불","라이터불, 성냥불",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎",,128,27,17,6,16,0,38,24,23,맑음,7.0,30,45.0,4.0,
891,200411161712287,0,0,0,0,강원소방본부,횡성소방서,우천119안전센터,,20200411,023400,20200411,023428,128.1033,37.4578,20200411,023539,20200411,024201,20200411,150735,20200411,032801,20200411,040500,000622,004600,15,3,0.0,강원도,횡성군,우천면,상대리,78,,임야,산불,사유림,임야,산정상,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,가연성물질의 급격한 연소,51,17,0,6,8,0,20,0,8,맑음,15.0,32,270.0,4.0,
892,200413235413189,0,0,0,0,강원소방본부,화천소방서,사내119안전센터,,20200413,071500,20200413,071505,127.4844,38.0575,20200413,071530,20200413,072220,20200413,200300,20200413,082800,20200413,113359,000650,010540,33,5,0.0,강원도,화천군,사내면,광덕리,,포화로 871-6,임야,산불,사유림,임야,산아래,쓰레기소각장에서확대,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",,,,329,18,36,8,7,260,0,0,7,맑음,7.0,32,135.0,4.0,
893,200417140816518,0,0,0,0,강원소방본부,철원소방서,김화119안전센터,,20200414,040000,20200414,040047,127.3961,38.1481,20200414,040509,20200414,042557,20200414,085000,20200415,120000,20200415,045356,002048,193403,14,15,5.0,강원도,철원군,서면,자등리,221,,임야,산불,국유림,임야,산아래,미상,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,395,22,88,4,10,0,271,0,27,맑음,21.0,0,180.0,4.0,
894,200415104155297,0,0,0,0,강원소방본부,원주소방서,문막119안전센터,부론119지역대,20200415,084800,20200415,084826,127.7594,37.2292,20200415,084929,20200415,085523,20200415,091237,20200415,095011,20200415,102638,000554,005448,35,12,3.0,강원도,원주시,부론면,흥호리,392-1,,임야,산불,사유림,임야,산중턱,기타,"불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마","종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎",원거리 소방서,88,20,25,2,16,0,0,25,12,맑음,7.0,55,45.0,4.0,
895,200418135318408,0,0,0,0,강원소방본부,평창소방서,대화119안전센터,,20200415,025000,20200415,025015,128.3883,37.4841,20200415,025117,20200415,031125,20200415,161156,20200415,043056,20200415,085056,002008,011931,19,15,0.0,강원도,평창군,대화면,개수리,541,,임야,산불,사유림,임야,산아래,미상,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,206,26,0,20,50,0,80,30,17,맑음,18.0,39,90.0,4.0,
896,200422154300344,0,0,0,20240,강원소방본부,철원소방서,태봉119안전센터,,20200416,013800,20200416,013800,,,20200416,013900,20200416,020358,20200416,041732,20200416,033032,20200417,033032,002458,012634,18,18,0.0,강원도,철원군,갈말읍,정연리,60,,임야,산불,국유림,임야,미상,미상,미상,미상,미상,미상,미상,미상,,,,192,76,0,0,16,100,0,0,36,맑음,12.0,64,225.0,4.0,
897,200422171732743,0,0,0,213,강원소방본부,강릉소방서,내곡119안전센터,,20200422,014800,20200422,014833,128.7847,37.7607,20200422,014906,20200422,020640,20200422,142141,20200422,025208,20200422,043615,001734,004528,16,15,0.0,강원도,강릉시,성산면,보광리,324,,임야,산불,사유림,임야,산아래,기타,화학적 발화열,화학반응열,화학적 요인,자연발화,"종이,목재,건초등","목재, 합판","종이,목재,건초등","목재, 합판","화재인지,신고 지연",196,48,36,4,0,0,108,0,14,맑음,7.0,37,225.0,12.0,
898,200422170528741,0,0,0,0,강원소방본부,인제소방서,인제119안전센터,,20200422,022100,20200422,022156,128.1292,38.1431,20200422,022237,20200422,023538,20200422,163950,20200422,043950,20200422,043950,001301,020412,18,14,0.0,강원도,인제군,인제읍,가아리,445-1,,임야,산불,국유림,임야,산아래,기타,"불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎",,137,20,0,12,14,0,6,85,15,흐림,6.0,37,225.0,8.0,
899,200424170015183,0,0,0,7700,강원소방본부,철원소방서,태봉119안전센터,,20200424,112500,20200424,112545,,,20200424,112753,20200424,120852,20200424,142635,20200424,034035,20200424,040435,004059,033143,5,5,0.0,강원도,철원군,갈말읍,문혜리,118,,임야,산불,사유림,임야,산중턱,미상,미상,미상,미상,미상,미상,미상,,,,112,16,16,1,24,0,0,55,14,맑음,13.0,41,135.0,4.0,건조 주의보
900,200424175035239,0,0,0,0,강원소방본부,춘천소방서,강촌119안전센터,,20200424,010700,20200424,010712,,,20200424,010852,20200424,014901,20200424,173832,20200424,053832,20200424,053832,004009,034931,39,21,0.0,강원도,춘천시,남면,관천리,1,,임야,산불,사유림,임야,산아래,기타,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,0,0,0,0,0,0,0,0,0,맑음,15.0,26,315.0,4.0,
901,200426160018756,0,0,0,0,강원소방본부,춘천소방서,후평119안전센터,,20200426,012600,20200426,012607,128.6711,37.3819,20200426,012702,20200426,013847,20200426,155901,20200426,305901,20200426,035901,001145,022014,7,7,0.0,강원도,춘천시,동면,감정리,118-1,,임야,산불,사유림,임야,산정상,미상,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,69,12,0,7,20,0,30,0,13,맑음,18.0,24,315.0,4.0,
902,200427155419404,0,0,0,0,강원소방본부,횡성소방서,공근119안전센터,,20200427,112800,20200427,112818,127.9641,37.5407,20200427,112910,20200427,113827,20200427,003005,20200427,124008,20200427,015009,000917,010141,9,5,0.0,강원도,횡성군,공근면,학담리,산 7,,임야,산불,사유림,임야,산정상,기타 입산자실화,미상,미상,부주의,기타(부주의),"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎","기타/화재인지,신고 지연",64,17,12,5,10,0,0,20,11,비,14.0,49,180.0,4.0,
903,200429180210405,0,0,0,0,강원소방본부,원주소방서,문막119안전센터,부론119지역대,20200429,045600,20200429,045600,127.8129,37.1635,20200429,045600,20200429,051446,20200429,172152,20200429,530954,20200429,055623,001846,002508,33,27,13.0,강원도,원주시,부론면,단강리,244-1,,임야,산불,사유림,임야,산아래,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,쓰레기 소각,쓰레기류,쓰레기,,,,32,20,0,2,0,0,10,0,7,맑음,21.0,29,225.0,,
904,200430200158924,0,0,0,0,강원소방본부,홍천소방서,서석119안전센터,,20200430,022700,20200430,022738,,,20200430,022854,20200430,024557,20200430,170000,20200430,500000,20200430,060653,001703,021403,25,9,0.0,강원도,홍천군,서석면,어론리,132-1,,임야,산불,국유림,임야,산정상,미상,미상,미상,미상,미상,미상,미상,,,,133,16,35,3,48,0,0,31,15,맑음,23.0,33,225.0,4.0,건조 주의보
905,200430203951282,0,0,0,247,강원소방본부,원주소방서,문막119안전센터,지정119지역대,20200430,060500,20200430,060552,127.8196,37.4347,20200430,061430,20200430,064019,20200430,191918,20200430,703010,20200430,082010,002549,004951,32,17,14.0,강원도,원주시,지정면,판대리,,구재로 470,임야,산불,사유림,임야,산정상,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,57,12,0,6,9,0,0,30,15,맑음,24.0,43,270.0,8.0,
906,200501171019117,0,0,0,0,강원소방본부,춘천소방서,후평119안전센터,,20200501,024700,20200501,024735,,,20200501,024913,20200501,031908,20200501,154000,20200501,045843,20200501,045843,002955,013935,18,18,0.0,강원도,춘천시,동면,상걸리,53,,임야,산불,국유림,임야,산중턱,기타 입산자실화,"불꽃, 불티","기타(불꽃,불티)",부주의,기타(부주의),"종이,목재,건초등","풀, 나뭇잎",,,,77,14,0,4,20,0,0,39,6,맑음,27.0,45,225.0,4.0,
907,200502062609935,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,동면119지역대,20200501,032100,20200501,032156,128.0345,37.6654,20200501,032233,20200501,033537,20200501,161000,20200502,084000,20200502,084100,001304,050423,14,14,11.0,강원도,홍천군,동면,노천리,151,,임야,산불,사유림,임야,산정상,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,112,13,42,5,20,0,0,32,13,맑음,28.0,37,225.0,4.0,
908,200506100109831,0,0,0,0,강원소방본부,철원소방서,김화119안전센터,,20200503,125100,20200503,125138,127.4311,38.1675,20200503,125243,20200503,011026,20200503,153006,20200503,504006,20200503,064055,001743,042940,18,17,0.0,강원도,철원군,근북면,유곡리,,,임야,산불,국유림,임야,산중턱,미상,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎","기상(건조, 강풍 등)",134,13,0,0,21,100,0,0,37,맑음,26.0,53,270.0,4.0,
909,200509125639370,0,0,0,0,강원소방본부,철원소방서,동송119안전센터,,20200506,112600,20200506,112643,127.1609,38.2389,20200506,112816,20200506,113919,20200506,005341,20200506,012041,20200506,020241,001103,014122,18,10,0.0,강원도,철원군,철원읍,율이리,199-1,,임야,산불,국유림,임야,산아래,기타,"불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마","종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎","기상(건조, 강풍 등)",71,23,15,4,27,2,0,0,21,맑음,21.0,42,135.0,4.0,
910,200508184848756,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,,20200508,025000,20200508,025035,127.8297,37.6592,20200508,025105,20200508,030042,20200508,151059,20200508,303059,20200508,064159,000937,003017,9,9,0.0,강원도,홍천군,홍천읍,상오안리,,,임야,산불,국유림,임야,산아래,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,22,10,0,2,0,0,10,0,6,맑음,27.0,11,270.0,,
911,200531213843524,0,0,0,0,강원소방본부,춘천소방서,신북119안전센터,,20200531,073400,20200531,073403,127.7439,37.9574,20200531,075420,20200531,080431,20200531,212021,20200531,092021,20200531,092021,001011,011550,11,6,0.0,강원도,춘천시,신북읍,산천리,12-62,순환대로 2365,임야,산불,사유림,임야,산중턱,쓰레기소각장에서확대,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,쓰레기류,쓰레기,,,,20,18,0,2,0,0,0,0,6,맑음,25.0,54,225.0,4.0,
912,200608191615173,0,0,0,0,강원소방본부,춘천소방서,후평119안전센터,,20200608,031500,20200608,031524,127.7114,37.845,20200608,031550,20200608,035613,20200608,181517,20200608,061517,20200608,071117,004023,021904,59,59,15.0,강원도,춘천시,동면,품걸리,,,임야,산불,국유림,임야,산정상,미상,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,49,15,0,0,0,0,34,0,10,맑음,32.0,45,270.0,4.0,
913,200613180218616,0,0,0,0,강원소방본부,춘천소방서,후평119안전센터,,20200613,030700,20200613,030719,127.7844,37.9374,20200613,031444,20200613,033102,20200613,170000,20200613,060259,20200613,064210,001618,023157,8,8,0.0,강원도,춘천시,동면,월곡리,,,임야,산불,국유림,임야,산중턱,기타 입산자실화,미상,미상,미상,미상,미상,미상,,,,87,14,15,9,29,0,20,0,19,맑음,34.0,25,270.0,4.0,
914,200623151601694,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,,20200623,100100,20200623,100131,127.8772,37.6817,20200623,100505,20200623,101216,20200623,112052,20200623,112052,20200623,030852,000711,010836,10,10,5.0,강원도,홍천군,동면,속초리,산 271,,임야,산불,국유림,임야,산정상,미상,미상,미상,미상,미상,미상,미상,,,,133,16,35,3,48,0,0,31,15,맑음,28.0,59,270.0,4.0,
915,200625112728693,0,0,0,200,강원소방본부,동해소방서,북삼119안전센터,삼화119지역대,20200623,064100,20200623,064102,129.0202,37.4632,20200623,064110,20200623,073200,20200623,201100,20200623,904500,20200623,095000,005050,021300,12,9,4.0,강원도,동해시,삼화동,,858-8,,임야,산불,국유림,임야,산정상,미상,미상,미상,미상,미상,기타,기타,"종이,목재,건초등","풀, 나뭇잎",,46,5,0,0,0,0,41,0,37,맑음,20.0,83,45.0,4.0,
916,200703175454124,0,0,0,0,강원소방본부,횡성소방서,공근119안전센터,,20200703,041700,20200703,041755,127.9544,37.5089,20200703,041913,20200703,042528,20200703,162909,20200703,403540,20200703,045557,000615,001012,5,3,0.0,강원도,횡성군,횡성읍,학곡리,,,임야,산불,사유림,임야,산중턱,기타,"불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마","종이,목재,건초등","기타(종이,목재,건초등)","종이,목재,건초등","기타(종이,목재,건초등)",,29,27,0,2,0,0,0,0,9,맑음,27.0,36,135.0,4.0,
917,201006175728625,0,0,0,0,강원소방본부,춘천소방서,신북119안전센터,,20201006,014800,20201006,014803,127.7583,38.0161,20201006,030827,20201006,033559,20201006,165400,20201006,405600,20201006,050353,002732,012001,30,21,0.0,강원도,춘천시,사북면,고성리,102-1,용화산로 76-117,임야,산불,국유림,임야,산정상,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,61,19,0,4,20,0,0,18,18,맑음,18.0,41,225.0,4.0,
918,201009203755066,0,0,0,0,강원소방본부,홍천소방서,서석119안전센터,,20201009,045000,20201009,045042,128.1833,37.7119,20201009,045205,20201009,045654,20201009,213820,20201009,120000,20201010,120000,000449,070306,33,3,0.0,강원도,홍천군,서석면,풍암리,,,임야,산불,국유림,임야,산중턱,기타 입산자실화,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,51,12,0,3,0,0,36,0,7,맑음,18.0,56,45.0,4.0,풍랑 주의보
919,201017095722057,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,,20201011,071100,20201011,071134,128.0008,37.7539,20201011,071245,20201011,072409,20201011,003647,20201011,123647,20201011,123647,001124,051238,16,16,7.0,강원도,홍천군,화촌면,군업리,산 359,,임야,산불,국유림,임야,산중턱,미상,미상,미상,미상,미상,미상,미상,,,,45,7,0,6,0,0,0,32,11,맑음,8.0,94,180.0,4.0,
920,201013172847082,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,,20201013,023800,20201013,023829,128.0027,37.7573,20201013,024124,20201013,025516,20201013,164019,20201013,405940,20201013,045940,001352,020424,17,17,8.0,강원도,홍천군,화촌면,군업리,10,군업안말길54번길 32-21,임야,산불,국유림,임야,산중턱,미상,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,86,5,23,0,8,0,49,1,12,맑음,18.0,51,225.0,4.0,
921,201018171037485,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,,20201018,013600,20201018,013657,128.0033,37.7568,20201018,013657,20201018,015525,20201018,152621,20201018,050921,20201018,050921,001828,031356,16,16,0.0,강원도,홍천군,화촌면,군업리,10,,임야,산불,국유림,임야,산정상,미상,미상,미상,미상,미상,미상,미상,,,,38,7,10,4,0,0,6,11,7,맑음,18.0,42,270.0,4.0,
922,201025184007592,0,0,0,0,강원소방본부,고성소방서,거진119안전센터,현내119지역대,20201025,115800,20201025,115800,,,20201025,120000,20201025,121800,20201025,155500,20201025,035500,20201025,045300,001800,033700,27,21,11.0,강원도,고성군,현내면,명호리,,통일전망대로 455,임야,산불,국유림,임야,산정상,미상,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,156,20,0,6,25,86,0,19,24,맑음,20.0,20,270.0,4.0,
923,201029172222935,0,0,0,0,강원소방본부,정선소방서,신동119안전센터,,20201029,015500,20201029,020008,128.6133,37.1982,20201029,020308,20201029,021821,20201029,160213,20201029,042743,20201029,045755,001513,020922,36,6,0.0,강원도,정선군,신동읍,천포리,41,곡길 77,임야,산불,국유림,임야,산아래,"논,밭두렁으로부터확대","불꽃, 불티","쓰레기, 논밭두렁",부주의,"논,임야태우기",기타,기타,,,,97,29,35,4,0,0,29,0,17,맑음,17.0,19,225.0,4.0,
924,201103204417814,0,0,0,0,강원소방본부,홍천소방서,양덕원119안전센터,,20201103,020800,20201103,020820,127.7328,37.5997,20201103,021113,20201103,022455,20201103,164500,20201103,050000,20201103,050339,001342,023505,29,8,0.0,강원도,홍천군,남면,화전리,278-1,,임야,산불,국유림,임야,산중턱,군.경사격장으로부터확대,"폭발물, 폭죽","폭탄, 탄약",기타,기타,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎","기상(건조, 강풍 등)",72,14,0,8,10,30,10,0,20,맑음,7.0,22,225.0,12.0,
925,201104171458858,0,0,0,0,강원소방본부,철원소방서,동송119안전센터,,20201104,124500,20201104,124509,127.2105,38.2095,20201104,124717,20201104,125254,20201104,131345,20201104,014752,20201104,024057,000537,005458,13,2,0.0,강원도,철원군,동송읍,이평리,116,,임야,산불,국유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,105,15,0,2,35,0,53,0,9,맑음,6.0,23,270.0,4.0,
926,201108061354689,0,0,0,605,강원소방본부,동해소방서,북삼119안전센터,삼화119지역대,20201108,022700,20201108,022715,129.0214,37.5161,20201108,022743,20201108,024738,20201108,031225,20201108,044045,20201108,055130,001955,015307,14,10,6.0,강원도,동해시,신흥동,,251-1,,임야,산불,사유림,임야,산아래,미상,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등",나무,"기상(건조, 강풍 등)/원거리 소방서/화재인지,신고 지연",123,57,2,9,15,0,40,0,59,맑음,9.0,41,225.0,4.0,건조 주의보
927,201116172756527,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,,20201116,123800,20201116,123806,127.8884,37.6436,20201116,123908,20201116,124656,20201116,134341,20201116,115041,20201116,115041,000748,110345,8,8,0.0,강원도,홍천군,홍천읍,장전평리,산 99-3,,임야,산불,사유림,임야,산정상,기타 입산자실화,"담뱃불, 라이터불",촛불,부주의,기타(부주의),기타,기타,기타,기타,,0,0,0,0,0,0,0,0,0,맑음,13.0,59,225.0,4.0,
928,201202080401075,0,0,0,145,강원소방본부,횡성소방서,우천119안전센터,,20201201,095900,20201201,095929,128.1085,37.468,20201201,100032,20201201,101725,20201201,224549,20201201,114707,20201202,120637,001653,012942,17,8,0.0,강원도,횡성군,우천면,상대리,55,,임야,산불,사유림,임야,산아래,건물로부터확대,작동기기,"기기 전도,복사열,기기발열",기계적 요인,기타(기계적요인),"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎","가연성물질의 급격한 연소/기상(건조, 강풍 등)",104,27,35,2,0,0,40,0,10,맑음,-1.0,50,225.0,4.0,
929,201206163306445,0,0,0,0,강원소방본부,화천소방서,화천119안전센터,,20201203,095800,20201203,095826,127.685,38.231,20201203,095926,20201203,102137,20201203,152547,20201206,032547,20201206,032547,002211,170410,32,32,18.0,강원도,철원군,원남면,노동리,12,,임야,산불,국유림,임야,산정상,미상,미상,미상,미상,미상,미상,미상,미상,미상,,102,7,0,0,0,95,0,0,3,맑음,-5.0,63,180.0,4.0,
930,201208224953027,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,동면119지역대,20201208,083700,20201208,083749,127.9656,37.6755,20201208,084042,20201208,084345,20201208,211500,20201208,104305,20201208,104305,000303,015920,6,6,3.0,강원도,홍천군,동면,속초리,193,,임야,산불,사유림,임야,산아래,기타,"불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎","기상(건조, 강풍 등)",84,20,33,7,24,0,0,0,12,맑음,-3.0,50,180.0,4.0,
931,201212174253086,0,0,0,0,강원소방본부,원주소방서,신림119안전센터,,20201212,114300,20201212,114329,128.0537,37.2209,20201212,114405,20201212,120631,20201212,005019,20201212,010933,20201212,023438,002226,010302,24,11,0.0,강원도,원주시,신림면,구학리,126-9,,임야,산불,사유림,임야,산중턱,기타,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,53,25,8,2,6,0,12,0,13,맑음,3.0,42,315.0,4.0,
932,201212173054957,0,0,0,0,강원소방본부,원주소방서,신림119안전센터,,20201212,031600,20201212,031603,128.1385,37.2598,20201212,031711,20201212,032146,20201212,172528,20201212,070700,20201212,070700,000435,034514,27,11,0.0,강원도,원주시,신림면,황둔리,35,,임야,산불,국유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",건초,"종이,목재,건초등","풀, 나뭇잎",현장도착 지연(교통혼잡),61,31,0,6,6,0,0,18,11,맑음,5.0,30,315.0,,
933,201225232506144,0,0,0,0,강원소방본부,영월소방서,영월119안전센터,,20201225,022200,20201225,042215,128.4598,37.1813,20201225,042255,20201225,042806,20201225,175434,20201225,101534,20201225,111534,000511,054728,3,3,0.0,강원도,영월군,영월읍,영흥리,131-1,,임야,산불,국유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎","기상(건조, 강풍 등)/화재인지,신고 지연",118,11,35,8,0,0,32,32,13,맑음,-5.0,47,225.0,4.0,
934,210106112751531,0,0,0,330,강원소방본부,강릉소방서,주문진119안전센터,,20210105,120900,20210105,120939,128.7542,37.8488,20210105,121151,20210105,122240,20210105,003757,20210105,125555,20210105,012616,001049,003315,23,10,0.0,강원도,강릉시,연곡면,퇴곡리,,황어대길 100,임야,산불,사유림,임야,산아래,기타,"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","기타(종이,목재,건초등)",가연성물질의 급격한 연소/원거리 소방서,83,46,20,4,10,0,3,0,26,맑음,1.0,16,315.0,4.0,풍랑 주의보
935,210115113311570,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,동면119지역대,20210112,114400,20210112,114416,127.9044,37.7031,20210112,114720,20210112,122313,20210112,130000,20210112,031053,20210112,031053,003553,024740,28,28,24.0,강원도,홍천군,동면,좌운리,산 244-28,,임야,산불,공유림,임야,산정상,기타 입산자실화,미상,미상,미상,미상,미상,미상,,,,48,4,9,5,0,0,5,25,3,맑음,-8.0,59,270.0,4.0,
936,210116170825819,0,0,0,0,강원소방본부,인제소방서,인제119안전센터,,20210115,033900,20210115,033938,128.2243,38.0821,20210115,034538,20210115,035709,20210115,084000,20210116,113000,20210116,113700,001131,193251,11,11,0.0,강원도,인제군,인제읍,덕적리,산 1,,임야,산불,국유림,임야,산정상,기타,자연적 발화열,낙뢰,자연적인 요인,기타(자연적인요인),"종이,목재,건초등","풀, 나뭇잎",,,,54,16,0,9,0,0,29,0,10,비,-2.0,69,315.0,12.0,
937,210117183701469,0,0,0,0,강원소방본부,동해소방서,천곡119안전센터,,20210117,033600,20210117,033649,129.0826,37.5364,20210117,033807,20210117,034824,20210117,164748,20210117,060059,20210117,062417,001017,021235,8,8,0.0,강원도,동해시,부곡동,,159,,임야,산불,사유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,275,80,38,14,98,0,0,45,24,맑음,1.0,17,315.0,4.0,
